Frequency(Hz),IC(Re),IC(-Im)
7812.5203,37038.217,-8587.711
7751.485,37290.111,-8705.898
7690.4497,37273.25,-8633.478
7629.4144,37029.825,-8532.007
7568.3791,37281.986,-8385.711
7507.3438,37208.562,-8449.862
7446.3085,37023.525,-8531.627
7385.2731,37294.177,-8112.576
7324.2378,37270.95,-8089.325
7263.2025,37014.132,-7934.848
7202.1672,37121.401,-8057.816
7141.1319,37192.446,-7694.676
7080.0966,37336.285,-7736.02
7019.0612,36899.398,-7722.919
6958.0259,37225.109,-7542.076
6896.9906,37133.69,-7474.787
6835.9553,37039.997,-7411.624
6774.92,37239.026,-7149.857
6713.8847,37184.641,-7168.996
6652.8494,37055.563,-7296.219
6591.814,37143.857,-7052.631
6530.7787,37159.988,-6999.127
6469.7434,37178.938,-6914.596
6408.7081,37123.268,-6888.388
6347.6728,37067.884,-6505.829
6286.6375,37015.384,-6534.514
6225.6022,37246.425,-6494.688
6164.5668,37230.402,-6334.214
6103.5315,37356.105,-6394.126
6042.4962,37193.869,-6305.495
5981.4609,37068.009,-6140.514
5920.4256,37122.355,-6115.117
5859.3903,37107.577,-6058.747
5798.3549,37126.376,-5997.545
5737.3196,37253.161,-5828.665
5676.2843,37128.706,-5713.835
5615.249,37327.62,-5657.467
5554.2137,37275.457,-5695.36
5493.1784,37223.569,-5477.746
5432.1431,37061.813,-5394.394
5371.1077,37225.493,-5432.45
5310.0724,37066.947,-5237.721
5249.0371,37338.348,-5159.53
5188.0018,37359.271,-5139.584
5126.9665,37094.244,-5034.73
5065.9312,37220.36,-4943.05
5004.8958,37170.515,-4820.551
4943.8605,37371.033,-4774.096
4882.8252,37214.49,-4504.489
4821.7899,37272.503,-4545.264
4760.7546,37328.078,-4445.2
4699.7193,37172.425,-4327.716
4638.684,37373.731,-4270.519
4577.6486,37251.659,-4117.289
4516.6133,37236.815,-4091.15
4455.578,37189.215,-4007.459
4394.5427,37248.71,-3794.757
4333.5074,37448.159,-3873.41
4272.4721,37258.894,-3796.617
4211.4367,37351.949,-3566.222
4150.4014,37341.119,-3438.495
4089.3661,37289.717,-3359.274
4028.3308,37421.529,-3242.844
3967.2955,37304.806,-3299.699
3906.2602,37221.272,-3200.923
3875.7425,37393.995,-3034.045
3845.2249,37356.324,-3115.986
3814.7072,37425.24,-2973.78
3784.1895,37349.549,-2862.459
3753.6719,37380.432,-2799.983
3723.1542,37485.002,-2884.144
3692.6366,37338.517,-2797.283
3662.1189,37443.189,-2739.475
3631.6013,37509.774,-2799.038
3601.0836,37469.953,-2639.041
3570.5659,37468.325,-2530.265
3540.0483,37570.542,-2585.414
3509.5306,37530.903,-2558.522
3479.013,37387.563,-2447.573
3448.4953,37419.003,-2427.358
3417.9777,37450.496,-2251.995
3387.46,37484.69,-2267.434
3356.9423,37549.096,-2220.502
3326.4247,37616.196,-2172.637
3295.907,37541.541,-2183.498
3265.3894,37575.955,-2010.624
3234.8717,37465.987,-2072.459
3204.354,37533.31,-1994.732
3173.8364,37638.779,-1924.912
3143.3187,37599.882,-1924.735
3112.8011,37631.921,-1875.838
3082.2834,37628.582,-1787.092
3051.7658,37627.964,-1766.025
3021.2481,37589.316,-1815.695
2990.7304,37621.584,-1562.031
2960.2128,37653.906,-1624.998
2929.6951,37580.024,-1589.447
2899.1775,37612.463,-1546.157
2868.6598,37715.783,-1437.582
2838.1422,37712.913,-1427.513
2807.6245,37639.286,-1287.986
2777.1068,37778.165,-1378.62
2746.5892,37742.738,-1306.701
2716.0715,37740.105,-1225.845
2685.5539,37772.933,-1111.815
