time/s,cycle number,ox/red,Ewe/V,I/mA,Capacity/mA.h
6376.064668921143,0.0,0,2.9999557,-90.005653,35.9921836166526
22322.42178232105,1.0,0,3.0000131,-90.002449,33.79594589209153
37836.64337170275,2.0,0,3.0000322,-90.014595,32.58458088429388
53112.58444911288,3.0,0,3.0000894,-90.010124,31.87169725053832
68239.26208176208,4.0,0,3.0000131,-90.015244,31.4496047782249
83268.97547882341,5.0,0,3.0001276,-90.007568,31.16233153546778
98228.19629258268,6.0,0,3.0000322,-90.009483,30.91441493758014
113130.4729197535,7.0,0,3.0000131,-90.011406,30.73335496723433
127987.4519576591,8.0,0,3.0000322,-90.016518,30.53984098030514
142800.0326682993,9.0,0,3.0000703,-90.010757,30.36009826535755
157574.7927118866,10.0,0,3.0001085,-90.015877,30.2599422102805
172335.1111532082,11.0,0,3.0000131,-90.008842,30.23077814825945
187077.4787917272,12.0,0,2.9999747,-90.007568,30.13329025922862
201806.3106281281,13.0,0,3.0000703,-90.015244,30.08567729108045
216516.2166615664,14.0,0,3.0000513,-90.013962,29.9763255451211
231190.0654893606,15.0,0,3.0000322,-90.014595,29.90694791594863
245856.1541159421,16.0,0,3.0000322,-90.022919,29.89288661741382
260540.162945326,17.0,0,3.0001085,-90.013321,29.90104923111765
275189.6625425741,18.0,0,2.9998603,-90.011406,29.74391260083981
289816.5614109448,19.0,0,3.0000513,-90.019722,29.7100260842285
304444.3080786844,20.0,0,3.0000703,-90.021004,29.69270119173136
319060.794954842,21.0,0,3.0000513,-90.013962,29.60516563124846
333652.6502493313,22.0,0,2.9998984,-90.013321,29.57063580494391
348247.3817416849,23.0,0,3.0000322,-90.010124,29.56548419878174
362839.4808359873,24.0,0,2.9999747,-90.015244,29.49633075222017
377421.1861380428,25.0,0,3.0000703,-90.011406,29.449879035692
391981.7216558594,26.0,0,3.0000513,-90.008842,29.42496734525685
406549.8253680468,27.0,0,3.0000322,-90.015877,29.43357622459497
421115.6062819753,28.0,0,3.0000513,-90.011406,29.45458956618459
435695.7047852259,29.0,0,3.0001466,-90.008202,29.48302475042766
450274.3796895444,30.0,0,3.0000894,-90.004364,29.431823440603
464815.7412216645,31.0,0,2.9999175,-90.005005,29.33407413984891
479353.1011567516,32.0,0,2.9999747,-90.01268,29.26259917644459
493877.3229016513,33.0,0,3.0000322,-90.005653,29.21789857182902
508406.0454431959,34.0,0,3.0000513,-90.006287,29.24972140564384
522925.1397919022,35.0,0,3.0001085,-90.007568,29.2542614607688
537447.6015207544,36.0,0,3.0000322,-90.004364,29.20186526366213
551966.3072745376,37.0,0,2.9999938,-90.017159,29.12913186012017
566470.4382460986,38.0,0,3.0000131,-90.013962,29.08274623192424
580950.6276469536,39.0,0,2.9999938,-90.006287,29.09305065436596
595399.0478865765,40.0,0,2.9999938,-90.00692,29.1802645982005
609902.6004588604,41.0,0,3.0001657,-90.004364,29.14786863888931
624412.9456228465,42.0,0,3.0000322,-90.005653,29.14900888987264
638920.741589915,43.0,0,3.0001466,-90.009483,29.08521277533939
653403.7319873013,44.0,0,2.9999747,-90.011406,29.07401061849849
667843.8254371174,45.0,0,3.0000513,-90.007568,29.09927052281316
682342.5538152717,46.0,0,2.9999938,-90.006287,29.12213086558658
696848.5893845595,47.0,0,3.0000894,-90.006287,29.12699477637863
711333.2791798711,48.0,0,3.0000131,-90.010757,29.02562846454707
725799.7795974277,49.0,0,3.0000703,-90.012039,28.90118009748584
740256.5702268551,50.0,0,3.0000894,-90.010757,28.90060040140664
754701.5946706682,51.0,0,3.0000513,-90.015244,28.87586727485107
769117.5719500259,52.0,0,3.0001276,-90.012039,28.91718614183723
783586.0065652621,53.0,0,3.0000703,-90.008842,28.93852120026059
798014.7014290355,54.0,0,2.9999557,-90.008842,28.89528026226298
812468.9740615636,55.0,0,2.9999366,-90.016518,28.81188971861098
826913.9511054084,56.0,0,3.0001085,-90.01268,28.81505556263095
841347.4231632799,57.0,0,3.0000322,-90.013962,28.81482014661451
855802.6631946303,58.0,0,3.0001657,-90.014595,28.86440525114908
870225.7174653076,59.0,0,2.9999557,-90.008202,28.82202084311506
884643.1383428797,60.0,0,2.9999557,-90.005653,28.79121394200345
899059.4926217548,61.0,0,3.0001085,-90.016518,28.73982977196889
913475.6427008882,62.0,0,2.9999938,-90.013962,28.70858701348493
927907.0859612934,63.0,0,2.9999557,-90.014595,28.6470001696146
942318.845245812,64.0,0,2.9999557,-90.006287,28.77484175887385
956735.3541244828,65.0,0,3.0001085,-90.007568,28.75971727203291
971152.8650019392,66.0,0,2.9999557,-90.00692,28.7379875468708
985563.0954882764,67.0,0,3.0000131,-90.019722,28.66684302763327
999989.9561543056,68.0,0,3.0000322,-90.013321,28.64139574876615
1014394.35804775,69.0,0,3.0000703,-90.015877,28.64158730702466
1028817.464118309,70.0,0,3.0000322,-90.009483,28.68963075528378
1043234.857995924,71.0,0,3.0001085,-90.008842,28.69034551159452
