time/s,cycle number,ox/red,Ewe/V,I/mA,Capacity/mA.h
6153.95127161032,0.0,0,3.0001044,-90.016747,33.94367186459094
21652.3261903793,1.0,0,3.0000472,-90.012917,31.50480924250831
36664.96896946938,2.0,0,2.99999,-90.012917,30.17151429360582
51408.0330458883,3.0,0,3.0000472,-90.019943,29.44475170073359
66005.83641002732,4.0,0,2.99999,-90.018028,29.01636241032875
80517.56912949798,5.0,0,2.9999709,-90.016747,28.75276865531244
94949.31406792055,6.0,0,2.9999709,-90.010368,28.4735870419744
109350.3688137465,7.0,0,2.9999709,-90.018028,28.34278385906048
123725.9941655528,8.0,0,2.99999,-90.018028,28.13892402631927
138082.3830432589,9.0,0,3.0000281,-90.024414,27.96151837147567
152419.0670182947,10.0,0,3.0000091,-90.024414,27.78846721479967
166735.6885901947,11.0,0,3.0000472,-90.018028,27.74441843536037
181033.2859591166,12.0,0,3.0001044,-90.010368,27.64458952882766
195307.8157244294,13.0,0,2.99999,-90.020584,27.4637591243426
209565.8964871666,14.0,0,2.9999518,-90.016113,27.26970173058238
223806.9352472399,15.0,0,3.0000091,-90.012283,27.23339439278411
238037.3810056541,16.0,0,3.0000091,-90.019943,27.1416302736223
252265.6145637203,17.0,0,3.0000091,-90.020584,27.19281372063399
266489.7544033634,18.0,0,2.9999709,-90.014198,27.18539261008198
280706.822577171,19.0,0,3.0000281,-90.014198,27.1262833420978
294914.7759577599,20.0,0,2.9999137,-90.019943,26.95348001512864
309109.7561480287,21.0,0,3.0000472,-90.025696,26.94332162501907
323307.5339362163,22.0,0,3.0000663,-90.012917,26.92342155494095
337494.9637321131,23.0,0,3.0000854,-90.016747,26.92832891250099
351682.4033279896,24.0,0,3.0000663,-90.006538,26.98153362147264
365866.2953265216,25.0,0,3.0000091,-90.015472,26.98102003716788
380045.2707286887,26.0,0,3.0000281,-90.019943,26.95900583487445
394227.157928712,27.0,0,3.0000472,-90.022499,26.83058544272061
408404.6233320262,28.0,0,3.0000091,-90.021217,26.79826497204205
422578.1213382836,29.0,0,2.99999,-90.019943,26.97929401879455
436757.9419398471,30.0,0,3.0000663,-90.012283,26.82754041920939
451302.7169653949,31.0,0,3.0000091,-90.015472,26.53223851707882
465521.7163377628,32.0,0,2.99999,-90.026329,26.13283146402062
479718.9899263028,33.0,0,3.0000091,-90.011002,25.94453290035795
493914.1077164747,34.0,0,2.9999709,-90.022499,25.78521889968875
508100.2233133405,35.0,0,3.0001044,-90.017387,25.83896039295158
522290.6873069609,36.0,0,3.0000091,-90.011002,25.82758635269036
