time/s,cycle number,ox/red,Ewe/V,I/mA,Capacity/mA.h
6512.314467271543,0.0,0,3.0000892,-90.002052,36.77170271647176
22779.68557739511,1.0,0,2.9999747,-90.000145,35.63747188938019
38788.18757409017,2.0,0,2.9999938,-90.003326,34.56487744051866
54570.82005244796,3.0,0,3.0000701,-90.006516,33.85037605571448
70196.24141947366,4.0,0,3.0000129,-90.005241,33.37832429845177
85704.40290336264,5.0,0,2.9999554,-89.996315,32.96714772444066
101137.2828051083,6.0,0,3.0000129,-89.999504,32.73626916562738
116521.9823181571,7.0,0,3.0000701,-90.007797,32.58205807066349
131865.6193528995,8.0,0,3.0000129,-90.011627,32.41429666534978
147165.1334785861,9.0,0,2.9999938,-89.999504,32.23381829323368
162427.2721984219,10.0,0,2.9998791,-90.000778,32.13150095737159
177642.2405108744,11.0,0,3.0000129,-90.007156,32.00967843234378
192831.7436193391,12.0,0,3.000051,-90.004608,31.87216769521331
207991.9021232184,13.0,0,3.000051,-90.009071,31.75289530715434
223129.6138235861,14.0,0,2.9999554,-90.003975,31.7060366543117
238257.756522459,15.0,0,2.9999938,-90.005241,31.68117195316524
253367.0956183859,16.0,0,2.9999938,-90.002052,31.56552006758919
268448.3196688443,17.0,0,3.0000129,-90.002052,31.45425408531401
283510.4138130425,18.0,0,3.000051,-90.002693,31.36232693129769
298548.2091753297,19.0,0,2.9999747,-90.002052,31.29418619052295
313552.3883626759,20.0,0,3.0000129,-90.000145,31.24852871676632
328555.713550658,21.0,0,3.0000892,-89.997589,31.21282347364128
343549.6525456514,22.0,0,3.0000319,-90.003975,31.13388305461208
358523.4795556031,23.0,0,3.0000319,-90.007797,31.04637503844915
373474.8463822813,24.0,0,2.9999363,-90.005882,31.02254868234975
388432.7760040727,25.0,0,2.9999938,-90.009071,31.01906202582761
403386.0280293529,26.0,0,3.0000129,-90.000145,30.96766676336544
418320.7898684144,27.0,0,3.000051,-90.008438,30.89022812859635
433231.5469253697,28.0,0,3.0000892,-90.010345,30.82419341838496
448126.1459943652,29.0,0,2.9999938,-90.007156,30.81132040845278
463019.2432644786,30.0,0,2.9999554,-90.008438,30.76906348060396
477887.5227530543,31.0,0,3.0000129,-90.007156,30.72573653498971
492759.4606389143,32.0,0,3.0001082,-90.006516,30.7350419389924
507625.2271293979,33.0,0,3.0001657,-90.002693,30.63348942289099
522477.0128302667,34.0,0,3.000051,-90.001419,30.57564375621374
537321.2707406767,35.0,0,2.9999747,-90.000145,30.56924487854976
552156.2993080355,36.0,0,3.0000319,-90.003975,30.54764810860488
566980.9688879736,37.0,0,3.0000701,-90.007797,30.52219882908036
581802.6578716263,38.0,0,3.000051,-90.002693,30.48588799022077
596608.6592744477,39.0,0,3.0001657,-90.000145,30.39265797806002
611395.8811002295,40.0,0,2.9999747,-90.002693,30.38649457742653
626186.3687219694,41.0,0,3.0000129,-90.001419,30.36580911385219
640977.0195435397,42.0,0,2.9999938,-90.002693,30.3500148993882
655749.9923867178,43.0,0,3.0000701,-90.006516,30.28888845186448
670513.139041882,44.0,0,2.9999173,-90.002693,30.30049282674327
685267.0339083597,45.0,0,2.9999938,-89.999504,30.2308513661558
700007.9131907448,46.0,0,3.0000319,-89.99823,30.24341072783832
714753.823067002,47.0,0,3.0000892,-90.008438,30.1988817891744
729499.925742954,48.0,0,3.0000129,-90.002693,30.21162789698068
744242.7708229013,49.0,0,2.9999363,-90.001419,30.16230312884091
758976.6847138065,50.0,0,3.0001082,-90.005882,30.15889500792821
773699.4326183754,51.0,0,3.0000129,-90.004608,30.10592472248883
788416.0101304539,52.0,0,3.0000892,-90.006516,30.0653167131568
803136.3554379009,53.0,0,3.0000129,-90.010345,30.02150806607352
817845.2813593,54.0,0,2.9999747,-90.010979,30.00903740588378
832545.0200919285,55.0,0,2.9998982,-90.003326,29.99050821093626
847228.3348446861,56.0,0,3.0000319,-90.003975,29.96409596452332
861901.3454099745,57.0,0,3.0000892,-90.011627,29.91042051849619
876564.001187934,58.0,0,3.0000319,-90.003975,29.85402317802939
891223.2975700013,59.0,0,2.9999938,-90.005882,29.85046995038137
905874.5209619366,60.0,0,3.0000129,-90.008438,29.83163142035924
920518.492562716,61.0,0,3.0000319,-90.003975,29.80071071698846
935159.1337676124,62.0,0,3.0000319,-90.007156,29.80630100382738
949790.2923840656,63.0,0,3.000051,-90.002693,29.75601808142043
964414.7092087268,64.0,0,3.0000892,-90.009071,29.70372626816096
979038.3848343528,65.0,0,3.0000319,-90.002052,29.66263124204469
993649.7500749644,66.0,0,3.000051,-90.008438,29.62051833389286
1008256.298921503,67.0,0,2.9999938,-90.005241,29.68504847377018
1022881.497945242,68.0,0,2.9999747,-90.004608,29.667550134162
1037493.732984807,69.0,0,2.9998982,-90.007156,29.67855828091813
1052098.768898144,70.0,0,2.9999554,-90.008438,29.62392872895562
1066692.86939132,71.0,0,2.9999938,-90.007797,29.60210990142653
1081287.806883372,72.0,0,3.0000319,-90.005882,29.58326026601537
1095884.331373133,73.0,0,2.9999363,-90.000145,29.58806453337733
1110472.658474643,74.0,0,2.9999747,-90.006516,29.55809881810338
1125053.81158638,75.0,0,2.9999938,-90.005241,29.51864854300226
1139629.02430664,76.0,0,2.9999554,-90.004608,29.50513328969872
1154200.046432868,77.0,0,2.9999938,-90.002052,29.51701229106223
1168773.255955975,78.0,0,3.0000129,-89.995674,29.55075498054422
1183358.355262082,79.0,0,3.000051,-90.005241,29.51203269830703
1197926.492192474,80.0,0,3.0000701,-90.006516,29.44575160417977
1212484.920936704,81.0,0,3.000051,-90.000778,29.4255890718138
1227042.107082717,82.0,0,2.9999938,-89.998863,29.38392699279574
1241587.915644992,83.0,0,2.9999938,-90.007797,29.37071419593768
1256124.364820655,84.0,0,2.9999938,-90.009071,29.33960589169908
1270656.592202336,85.0,0,2.9999554,-89.996956,29.3930053895128
1285188.733184181,86.0,0,3.0000892,-90.002052,29.34808425395623
1299710.325581159,87.0,0,3.000051,-89.99823,29.30225251457469
1314214.704602744,88.0,0,3.000051,-90.006516,29.11516886835142
1328691.308064014,89.0,0,2.9999554,-89.999504,29.09339824838808
1343179.542908754,90.0,0,3.0000129,-89.997589,29.08581055460442
1357657.824367661,91.0,0,3.0000129,-90.002052,29.10206738609655
1372140.285220601,92.0,0,3.0000701,-90.005882,29.11889941616696
1386635.837854803,93.0,0,3.0000319,-89.999504,29.14332827748026
1401128.990292508,94.0,0,2.9999938,-90.008438,29.02919429773797
1415608.953748982,95.0,0,3.000051,-90.006516,28.99254481210452
1430037.047679722,96.0,0,3.000051,-90.002693,28.99988830692422
1444510.411745675,97.0,0,3.0000701,-90.000145,28.97437720190602
1458916.47270786,98.0,0,2.9999747,-90.000145,29.03468518579778
1473370.299001757,99.0,0,3.0000129,-90.000145,28.98304191255823
1487777.359562527,100.0,0,2.9999554,-90.004608,28.91846614522045
1502219.332273282,101.0,0,3.0000701,-89.995674,28.87473892064627
1516627.699832287,102.0,0,2.9999938,-90.003975,28.93277010869131
1531039.031386968,103.0,0,3.0000319,-90.005241,28.91105482319724
1545496.286475942,104.0,0,2.9999554,-90.004608,28.9184097195295
1559941.801581725,105.0,0,2.9999938,-90.002693,28.96362178158653
1574390.393483162,106.0,0,2.9999747,-90.003326,28.91334982847764
1588818.68361355,107.0,0,3.0001466,-90.002693,28.92132699160848
1603260.361924838,108.0,0,3.0000129,-90.006516,28.92249197400585
1617710.235224351,109.0,0,2.9999747,-90.003975,28.98838505366474
1632168.329912093,110.0,0,2.9999747,-90.000145,28.87151659940715
1646596.746242291,111.0,0,3.0000129,-90.007156,28.75882762361994
1661009.280795276,112.0,0,2.9999747,-90.003326,28.69937831115891
