Frequency(Hz),IC(Re),IC(-Im)
7812.5203,41110.13,-8621.503
7751.485,41414.621,-8385.262
7690.4497,41645.249,-8499.5
7629.4144,41357.288,-8369.05
7568.3791,41404.117,-8487.844
7507.3438,41340.797,-8293.906
7446.3085,41424.836,-8159.994
7385.2731,41435.552,-8200.786
7324.2378,41514.069,-7988.063
7263.2025,41378.483,-7918.954
7202.1672,41426.618,-7808.734
7141.1319,41401.669,-7643.737
7080.0966,41557.153,-7629.491
7019.0612,41496.069,-7538.087
6958.0259,41468.953,-7377.744
6896.9906,41478.667,-7468.901
6835.9553,41415.574,-7281.508
6774.92,41501.736,-7277.404
6713.8847,41548.64,-7163.401
6652.8494,41379.926,-7031.853
6591.814,41463.788,-6986.539
6530.7787,41514.318,-6841.669
6469.7434,41416.535,-6787.508
6408.7081,41500.982,-6765.278
6347.6728,41406.752,-6729.961
6286.6375,41418.951,-6508.043
6225.6022,41504.01,-6368.124
6164.5668,41410.697,-6305.967
6103.5315,41568.72,-6238.935
6042.4962,41397.618,-6026.58
5981.4609,41447.274,-6104.778
5920.4256,41533.338,-5997.349
5859.3903,41658.7,-5899.538
5798.3549,41600.376,-5837.618
5737.3196,41542.367,-5667.333
5676.2843,41554.007,-5691.092
5615.249,41604.939,-5579.829
5554.2137,41478.522,-5478.125
5493.1784,41602.118,-5367.142
5432.1431,41509.463,-5314.906
5371.1077,41669.476,-5190.661
5310.0724,41469.302,-4999.014
5249.0371,41665.703,-5050.661
5188.0018,41682.2,-4913.316
5126.9665,41626.981,-4731.156
5065.9312,41712.964,-4800.587
5004.8958,41550.466,-4672.63
4943.8605,41639.861,-4675.053
4882.8252,41693.522,-4347.564
4821.7899,41603.809,-4529.664
4760.7546,41622.071,-4447.013
4699.7193,41640.576,-4274.794
4638.684,41695.174,-4243.909
4577.6486,41606.637,-4042.85
4516.6133,41590.074,-4052.435
4455.578,41717.015,-3887.471
4394.5427,41736.732,-3693.575
4333.5074,41685.129,-3613.904
4272.4721,41633.824,-3583.495
4211.4367,41725.833,-3539.724
4150.4014,41710.809,-3301.659
4089.3661,41696.054,-3338.453
4028.3308,41860.153,-3189.962
3967.2955,41738.761,-3014.813
3906.2602,41686.141,-3189.811
3875.7425,41752.11,-2923.986
3845.2249,41889.49,-2883.471
3814.7072,41812.842,-2925.472
3784.1895,41843.294,-2893.894
3753.6719,41945.14,-2766.471
3723.1542,41865.742,-2632.21
3692.6366,41789.402,-2703.207
3662.1189,41927.059,-2555.821
3631.6013,41886.509,-2548.839
3601.0836,41914.349,-2485.991
3570.5659,41873.944,-2519.119
3540.0483,41869.247,-2414.163
3509.5306,41932.902,-2509.472
3479.013,41928.331,-2344.442
3448.4953,41923.827,-2306.345
3417.9777,41955.005,-2218.175
3387.46,41947.654,-2149.906
3356.9423,41907.742,-2092.939
3326.4247,41903.505,-2072.702
3295.907,42041.728,-1926.764
3265.3894,42034.628,-1897.52
3234.8717,41923.811,-1920.692
3204.354,41955.423,-1969.441
3173.8364,42022.677,-1739.084
3143.3187,42054.407,-1796.741
3112.8011,42083.209,-1635.26
3082.2834,42115.056,-1662.904
3051.7658,42146.965,-1569.396
3021.2481,42140.378,-1596.934
2990.7304,42207.967,-1589.022
2960.2128,42168.945,-1541.113
2929.6951,42162.554,-1528.659
2899.1775,42156.23,-1436.235
2868.6598,42191.505,-1388.463
2838.1422,42220.849,-1363.826
2807.6245,42217.714,-1222.688
2777.1068,42176.117,-1164.773
2746.5892,42208.647,-1098.073
2716.0715,42309.288,-1144.544
2685.5539,42164.326,-1074.533
2655.0362,42339.125,-982.888
2624.5186,42336.382,-1028.331
2594.0009,42330.699,-886.144
2563.4832,42328.09,-827.83
2532.9656,42361.056,-803.369
2502.4479,42462.08,-742.243
2471.9303,42353.16,-635.697
2441.4126,42350.817,-661.732
2410.895,42381.026,-576.239
2380.3773,42414.308,-497.736
2349.8596,42444.637,-425.589
2319.342,42478.044,-425.013
2288.8243,42511.514,-278.616
2258.3067,42577.505,-253.22
2227.789,42504.66,-240.735
2197.2713,42570.774,-234.472
2166.7537,42636.94,-147.568
2136.236,42599.783,-168.761
2105.7184,42701.535,-53.615
2075.2007,42664.515,-22.339
2044.6831,42698.492,16.797
2014.1654,42694.036,133.46
1983.6477,42799.059,175.218
1953.1301,42794.727,68.556
1937.8713,42795.629,235.59
1922.6124,42828.96,197.631
1907.3536,42900.807,259.543
1892.0948,42830.85,374.227
1876.8359,42899.684,384.457
1861.5771,42900.673,299.983
1846.3183,42866.223,359.822
1831.0595,42970.56,439.577
1815.8006,42971.602,421.86
1800.5418,42934.15,388.88
1785.283,42899.771,478.911
1770.0241,42933.263,528.467
1754.7653,43005.279,513.524
1739.5065,43041.862,556.748
1724.2477,43075.398,602.701
1708.9888,42970.2,552.029
1693.73,43074.678,684.121
1678.4712,43111.329,642.039
1663.2123,43038.574,643.119
1647.9535,43075.257,690.777
1632.6947,43108.892,726.754
1617.4359,43110.159,763.335
1602.177,43108.375,811.495
1586.9182,43216.032,815.951
1571.6594,43178.827,815.918
1556.4005,43215.616,903.464
1541.1417,43249.346,884.595
1525.8829,43250.719,932.815
1510.6241,43213.581,974.322
1495.3652,43250.439,953.304
1480.1064,43322.769,1023.133
1464.8476,43285.678,1048.02
1449.5887,43354.956,1093.401
1434.3299,43320.985,1159.909
1419.0711,43393.385,1159.949
1403.8122,43391.81,1217.514
1388.5534,43393.343,1210.91
1373.2946,43427.253,1267.367
1358.0358,43464.273,1284.031
1342.7769,43498.216,1319.437
1327.5181,43499.821,1298.436
1312.2593,43498.345,1361.539
1297.0004,43603.236,1354.846
1281.7416,43569.445,1378.163
1266.4828,43568.018,1416.891
1251.224,43676.065,1451.29
1235.9651,43674.669,1471.184
1220.7063,43711.853,1526.636
1205.4475,43745.941,1531.019
1190.1886,43783.162,1553.239
1174.9298,43781.831,1569.809
1159.671,43783.637,1624.16
1144.4122,43853.243,1646.269
1129.1533,43887.412,1671.701
1113.8945,43924.726,1680.635
1098.6357,43926.606,1689.57
1083.3768,43925.375,1703.925
1068.118,43959.612,1780.32
1052.8592,43961.546,1771.535
1037.6004,43995.817,1830.205
1022.3415,44033.241,1876.819
1007.0827,44102.998,1891.173
991.8239,44140.462,1881.288
976.565,44174.799,1888.996
968.9356,44177.395,1961.125
961.3062,44176.847,1941.158
953.6768,44179.452,1987.809
946.0474,44214.37,1939.032
938.418,44252.445,1994.551
930.7886,44251.913,2000.068
923.1591,44254.541,2043.404
