Frequency(Hz),IC(Re),IC(-Im)
7812.5203,42582.007,-9296.396
7751.485,42924.73,-9401.289
7690.4497,42896.371,-9270.914
7629.4144,43018.398,-9306.865
7568.3791,43103.803,-9090.199
7507.3438,43039.441,-8886.984
7446.3085,43125.259,-9028.778
7385.2731,42951.448,-8633.388
7324.2378,43147.721,-8825.67
7263.2025,43011.261,-8568.364
7202.1672,42948.459,-8485.341
7141.1319,42959.179,-8475.656
7080.0966,43079.859,-8488.89
7019.0612,43203.705,-8256.038
6958.0259,43105.455,-8137.068
6896.9906,42934.565,-8164.322
6835.9553,43201.991,-8104.934
6774.92,42995.3,-7753.923
6713.8847,43153.576,-7950.062
6652.8494,43202.66,-7686.139
6591.814,43106.325,-7668.302
6530.7787,43192.298,-7645.983
6469.7434,43096.603,-7360.063
6408.7081,43037.622,-7347.111
6347.6728,43121.244,-7320.076
6286.6375,43135.462,-7039.468
6225.6022,43186.223,-6967.861
6164.5668,43237.199,-7005.188
6103.5315,42998.352,-7010.798
6042.4962,43116.281,-6761.828
5981.4609,43168.004,-6690.678
5920.4256,43219.944,-6719.181
5859.3903,43199.741,-6598.453
5798.3549,43212.933,-6409.617
5737.3196,43048.706,-6447.366
5676.2843,43170.871,-6353.705
5615.249,43224.016,-6310.273
5554.2137,43093.86,-6067.969
5493.1784,43111.445,-6137.518
5432.1431,43090.172,-5877.572
5371.1077,43249.39,-5834.163
5310.0724,43195.633,-5692.169
5249.0371,43175.144,-5680.466
5188.0018,43050.01,-5583.723
5126.9665,43246.008,-5473.21
5065.9312,43157.452,-5403.673
5004.8958,43138.08,-5239.479
4943.8605,43301.719,-5174.645
4882.8252,43282.833,-5078.1
4821.7899,43156.517,-5008.597
4760.7546,43213.081,-5029.263
4699.7193,43266.809,-4879.176
4638.684,43320.76,-4711.312
4577.6486,43198.76,-4678.372
4516.6133,43217.399,-4510.771
4455.578,43236.291,-4513.482
4394.5427,43365.932,-4294.964
4333.5074,43313.698,-4291.099
4272.4721,43222.924,-4157.255
4211.4367,43245.921,-3957.055
4150.4014,43337.622,-4018.206
4089.3661,43322.293,-3898.381
4028.3308,43378.708,-3771.964
3967.2955,43399.634,-3587.614
3906.2602,43352.473,-3742.9
3875.7425,43418.269,-3452.306
3845.2249,43305.61,-3487.565
3814.7072,43407.227,-3357.724
3784.1895,43401.81,-3399.69
3753.6719,43432.151,-3272.133
3723.1542,43462.552,-3289.576
3692.6366,43389.056,-3157.838
3662.1189,43380.838,-3208.523
3631.6013,43411.439,-3034.253
